id,bottle,label,water,type
0,0,0,0,0
1,1,1,0,1
2,1,1,0,1
3,0,1,0,1
4,0,0,0,0
5,1,1,0,1
6,1,1,0,1
7,1,1,0,1
8,0,0,0,0
9,1,1,1,1
10,1,1,1,1
11,1,1,1,1
12,1,0,0,1
13,1,1,1,1
14,0,0,0,0
15,0,0,0,0
16,1,0,0,1
17,0,0,0,0
18,0,0,1,1
19,0,0,1,1
20,0,0,1,1
21,0,0,1,1
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,1,0,1,1
26,1,0,1,1
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,1,1
32,0,1,1,1
33,1,1,1,1
34,1,1,1,1
35,1,1,1,1
36,1,1,1,1
37,0,0,1,1
38,1,1,1,1
39,1,1,1,1
40,1,1,1,1
41,1,1,1,1
42,1,1,1,1
43,1,1,1,1
44,1,1,1,1
45,0,0,1,1
46,1,0,1,1
47,0,0,1,1
48,1,0,1,1
49,0,0,1,1
50,0,0,1,1
51,0,0,1,1
52,0,0,1,1
53,0,0,1,1
54,0,0,1,1
55,1,0,1,1
56,0,0,1,1
57,0,0,1,1
58,0,0,1,1
59,1,0,1,1
60,0,0,1,1
61,0,0,1,1
62,0,0,1,1
63,0,0,1,1
64,0,0,1,1
65,0,0,1,1
66,0,0,1,1
67,0,0,1,1
68,0,0,1,1
69,1,1,1,1
70,1,0,1,1
71,0,0,1,1
72,0,0,0,0
73,1,0,0,1
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,1,0,0,1
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,1,0,0,1
86,1,0,0,1
87,1,0,0,1
88,1,0,0,1
89,1,0,0,1
90,1,0,0,1
91,1,0,0,1
92,1,0,0,1
93,1,0,0,1
94,0,0,1,1
95,0,0,0,0
96,1,0,0,1
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,1,0,0,1
103,0,0,0,0
104,1,0,0,1
105,1,0,0,1
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,1,0,1,1
112,1,0,1,1
113,1,0,1,1
114,1,0,1,1
115,1,0,1,1
116,1,0,1,1
117,1,0,1,1
118,1,0,1,1
119,1,0,1,1
120,1,0,1,1
121,1,0,1,1
122,1,0,1,1
123,1,0,1,1
124,1,0,1,1
125,1,0,1,1
126,1,0,1,1
127,1,0,1,1
128,1,0,1,1
129,1,0,1,1
130,1,0,1,1
131,1,0,1,1
132,1,0,1,1
133,1,0,1,1
134,1,0,1,1
135,1,0,1,1
136,1,0,1,1
137,1,0,1,1
138,1,0,1,1
139,1,0,1,1
140,1,0,1,1
141,1,0,1,1
142,1,0,1,1
143,1,0,1,1
144,1,0,1,1
145,1,0,1,1
146,1,0,1,1
147,1,0,1,1
148,1,0,1,1
149,1,0,1,1
150,1,0,0,1
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,1,1,1,1
155,1,1,1,1
156,1,1,1,1
157,1,1,1,1
158,1,1,1,1
159,1,1,1,1
160,1,1,1,1
161,1,0,0,1
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,1,0,1,1
171,0,0,0,0
172,0,0,0,0
173,1,0,0,1
174,0,0,0,0
175,0,0,0,0
176,0,0,0,0
177,1,0,0,1
